ISBN,Title,Subtitle,Author,Format,Number of pages,Publisher,Date of publication,Private notes,Comment Title,Comment Content,Reading status,Vote,Tags
9780006755302,Castle in the Air,,Diana Wynne Jones,Paperback,288,HarperCollins Publishers,2000-11-24,,,,Being read since 2024-04-02,,
9781399970853,The Retro Hour,The History of Video Games From Those Who Made It Happen,"Dan Wood, Joe Fox, Ravi Abbott",Hardcover,432,The Retro Hour,2023-xx-xx,,,,,,
9781739400927,Game Not Over,,Craig Turner,Hardcover,160,Fusion Retro Books,2023-10-01,,,"Game Not Over mette in fila un po' di computer e console, alcuni oscuri, altri abbastanza noti, che hanno sostanzialmente floppato. Ne chiacchiera approfonditamente sciorinando informazioni a valanga e ponendo a contorno opinioni (che ritengo spesso) altamente opinabili. Super interessante e denso, ha un po' il limite che Craig Turner scrive con la verve di un comunicato della comunità europea, ma insomma, non si può avere tutto.",Finished on 2023-12-29,4,
9780006753636,Paddington at Large,,Michael Bond,Paperback,144,HarperCollins Publishers,1998-01-29,,,,Finished on 2024-03-01,,
9781804993118,She and Her Cat,,"Makoto Shinkai, Ginny Tapley Takemori, Naruki Nagakawa",Paperback,160,Penguin Books ltd,2023-10-24,,,,,,
9780241983782,Brooklyn,,Colm Tóibín,Paperback,250,Penguin Books,2018-06-07,,,,,,
9788809792739,Treasure Island,,Robert Louis Stevenson,Paperback,224,Giunti Editore,2014-05-07,,,"L’estate scorsa, scartabellando nella sezione in lingua originale della libreria di Levanto, m'è cascato l’occhio su L’isola del tesoro e, dietro rapida consulta con Figlia, l’ho tirato su per infilarlo nella coda di letture della buonanotte. Relativamente poco dopo, sull’onda lunga dell’entusiasmo per la visione di Il mostro dei mari e per il suo clima piratesco, m'è sembrato il momento di aggredirlo, anche per spezzare un po' il ritmo fra il sessantesimo libro di Oz e il centododicesimo di Paddington. E niente, che bella avventurona appassionante, piena di colpi di scena, ribaltamenti, casini, sorprese dall’inizio alla fine. Tra l’altro, per essere un libro che si porta sulle spalle quasi centocinquant’anni, tutto sommato contiene relativamente poca roba invecchiata male che mi è toccato contestualizzare con “Ecco, questa è una cosa che un tempo si faceva ma insomma, non è molto gentile.”. Va molto peggio con libri ben più recenti. Poi, certo, non si vede un essere di sesso femminile manco a cercarlo col cannocchiale, ma forse, considerando che è un libro sui pirati scritto quasi centocinquant’anni fa, è meglio che non se ne vedano.",Finished on 2023-12-03,4.5,
9781782263128,Tik Tok of Oz (The Wizard of Oz Collection),,L. Frank Baum,Paperback,197,Sweet Cherry Publishing,2016-12-01,,,"Arrivati all’ottavo libro della serie, con tanto di conclusione e poi rilancio manco fosse un franchise di cent’anni dopo, dovrei ormai averci fatto l’abitudine, ma l’approccio seriale tutto a base di personaggi che ritornano e si mescolano a quelli nuovi in un tripudio di rimandi e ricordi continua ad affascinarmi. Tic Toc di Oz segna il nuovo ritorno del Re Niomo, che è un po' il Thanos del secolo scorso. Il suo regno viene invaso da una serie di nuovi e vecchi personaggi bizzarri mossi dalle motivazioni più improbabili e lui cerca di respingerli e deviarli in territori vicini come se fosse un primo ministro alle prese con un flusso migratorio. Mi fa sorridere anche se non credo che sia un’allegoria voluta (ma nel libro precedente si parlava di sistemi carcerari, quindi vai a sapere). Comunque è un altro libro super appassionante, divertentissimo e pieno di idee bislacche.",Finished on 2023-11-30,4,
9780007299263,Howl's Moving Castle,,Diana Wynne Jones,Paperback,304,HarperCollins Publishers,2008-11-29,,,,Being read since 2023-12-05,,
9781838458553,PC Engine,The Box Art Collection,Kurt Kalata,Hardcover,372,Bitmap Books,2023-06-05,,,"Io al PC Engine sono particolarmente legato, perché aveva un fascino tutto particolare ed esotico che, da adolescente, mi bevvi tutto, perché la rivoluzione del CD con i videogiochi che PARLAVANO mi piallò a terra e perché di giochi ne avevo pochi ma quanto erano belli? E quindi il terzo volume delle Box Art Collection è proprio fatto apposta per me. Poi, insomma, è come i precedenti: curatissimo sul piano visivo, con una bella selezione che mescola scelte ovvie ad altre molto meno, con la capacità di farti scoprire due o tre cose che non conoscevi e farti venire voglia immediata di avviare l'emulatore, e sì, con anche quel paio di errori nella parte redazionale che mi fanno venire l'acidosi perché sono un rompicoglioni ma insomma, eh, che ci posso fare?",Finished on 2023-10-21,5,
