Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
,Castle in the Air,Diana Wynne Jones,,,0006755305,9780006755302,,,HarperCollins Publishers,Paperback,288,2000/11/24,,,,currently-reading,,currently-reading,,,,1,1
,The Retro Hour,Dan Wood,,"Joe Fox, Ravi Abbott",1399970852,9781399970853,,,The Retro Hour,Hardcover,432,2023/01/01,,,,to-read,,to-read,,,,0,0
,Game Not Over,Craig Turner,,,1739400925,9781739400927,4,,Fusion Retro Books,Hardcover,160,2023/10/01,,,,read,,read,"Game Not Over mette in fila un po' di computer e console, alcuni oscuri, altri abbastanza noti, che hanno sostanzialmente floppato. Ne chiacchiera approfonditamente sciorinando informazioni a valanga e ponendo a contorno opinioni (che ritengo spesso) altamente opinabili. Super interessante e denso, ha un po' il limite che Craig Turner scrive con la verve di un comunicato della comunità europea, ma insomma, non si può avere tutto.",,,1,1
,Paddington at Large,Michael Bond,,,0006753639,9780006753636,,,HarperCollins Publishers,Paperback,144,1998/01/29,,,,read,,read,,,,1,1
,She and Her Cat,Makoto Shinkai,,"Ginny Tapley Takemori, Naruki Nagakawa",1804993115,9781804993118,,,Penguin Books ltd,Paperback,160,2023/10/24,,,,to-read,,to-read,,,,0,0
,Brooklyn,Colm Tóibín,,,0241983789,9780241983782,,,Penguin Books,Paperback,250,2018/06/07,,,,to-read,,to-read,,,,0,0
,Treasure Island,Robert Louis Stevenson,,,8809792734,9788809792739,4.5,,Giunti Editore,Paperback,224,2014/05/07,,,,read,,read,"L’estate scorsa, scartabellando nella sezione in lingua originale della libreria di Levanto, m'è cascato l’occhio su L’isola del tesoro e, dietro rapida consulta con Figlia, l’ho tirato su per infilarlo nella coda di letture della buonanotte. Relativamente poco dopo, sull’onda lunga dell’entusiasmo per la visione di Il mostro dei mari e per il suo clima piratesco, m'è sembrato il momento di aggredirlo, anche per spezzare un po' il ritmo fra il sessantesimo libro di Oz e il centododicesimo di Paddington. E niente, che bella avventurona appassionante, piena di colpi di scena, ribaltamenti, casini, sorprese dall’inizio alla fine. Tra l’altro, per essere un libro che si porta sulle spalle quasi centocinquant’anni, tutto sommato contiene relativamente poca roba invecchiata male che mi è toccato contestualizzare con “Ecco, questa è una cosa che un tempo si faceva ma insomma, non è molto gentile.”. Va molto peggio con libri ben più recenti. Poi, certo, non si vede un essere di sesso femminile manco a cercarlo col cannocchiale, ma forse, considerando che è un libro sui pirati scritto quasi centocinquant’anni fa, è meglio che non se ne vedano.",,,1,1
,Tik Tok of Oz (The Wizard of Oz Collection),L. Frank Baum,,,1782263128,9781782263128,4,,Sweet Cherry Publishing,Paperback,197,2016/12/01,,,,read,,read,"Arrivati all’ottavo libro della serie, con tanto di conclusione e poi rilancio manco fosse un franchise di cent’anni dopo, dovrei ormai averci fatto l’abitudine, ma l’approccio seriale tutto a base di personaggi che ritornano e si mescolano a quelli nuovi in un tripudio di rimandi e ricordi continua ad affascinarmi. Tic Toc di Oz segna il nuovo ritorno del Re Niomo, che è un po' il Thanos del secolo scorso. Il suo regno viene invaso da una serie di nuovi e vecchi personaggi bizzarri mossi dalle motivazioni più improbabili e lui cerca di respingerli e deviarli in territori vicini come se fosse un primo ministro alle prese con un flusso migratorio. Mi fa sorridere anche se non credo che sia un’allegoria voluta (ma nel libro precedente si parlava di sistemi carcerari, quindi vai a sapere). Comunque è un altro libro super appassionante, divertentissimo e pieno di idee bislacche.",,,1,1
,Howl's Moving Castle,Diana Wynne Jones,,,0007299265,9780007299263,,,HarperCollins Publishers,Paperback,304,2008/11/29,,,,currently-reading,,currently-reading,,,,1,1
,PC Engine,Kurt Kalata,,,1838458557,9781838458553,5,,Bitmap Books,Hardcover,372,2023/06/05,,,,read,,read,"Io al PC Engine sono particolarmente legato, perché aveva un fascino tutto particolare ed esotico che, da adolescente, mi bevvi tutto, perché la rivoluzione del CD con i videogiochi che PARLAVANO mi piallò a terra e perché di giochi ne avevo pochi ma quanto erano belli? E quindi il terzo volume delle Box Art Collection è proprio fatto apposta per me. Poi, insomma, è come i precedenti: curatissimo sul piano visivo, con una bella selezione che mescola scelte ovvie ad altre molto meno, con la capacità di farti scoprire due o tre cose che non conoscevi e farti venire voglia immediata di avviare l'emulatore, e sì, con anche quel paio di errori nella parte redazionale che mi fanno venire l'acidosi perché sono un rompicoglioni ma insomma, eh, che ci posso fare?",,,1,1
,Murdle,G.T. Karber,,,1800818025,9781800818026,,,Souvenir Press,Paperback,382,2023/07/06,,,,to-read,,to-read,,,,0,0
,Blonde Roots,Bernardine Evaristo,,,0141031522,9780141031521,,,Penguin Books Ltd,Paperback,272,2009/04/30,,,,to-read,,to-read,,,,0,0
,Mr Loverman,Bernardine Evaristo,,,0241145783,9780241145784,,,Penguin Books Ltd,Paperback,320,2013/08/29,,,,to-read,,to-read,,,,0,0
,Talking to My Daughter,Yanis Varoufakis,,,1784705756,9781784705756,,,Vintage,Paperback,224,2019/02/28,,,,to-read,,to-read,,,,0,0
,All about Love,bell hooks,,,0060959479,9780060959470,,,HarperCollins Publishers Inc,Paperback,272,2001/04/12,,,,to-read,,to-read,,,,0,0
,Una sera tra amici a Jinbōchō,Satoshi Yagisawa,,,8807035421,9788807035425,4,,Feltrinelli (I Narratori),Paperback,176,2023/06/06,,,,read,,read,"Mi sono trovato Una sera tra amici a Jinbōchō davanti in libreria a Levanto un anno dopo aver comprato il libro precedente nello stesso posto, m'è sembrato giusto ripetere l’esperienza e chiudere anche quest’estate leggendo le vicende della libreria Morisaki. E ho ritrovato la stessa placida atmosfera, lo stesso gusto nel descrivere la vita quotidiana dei personaggi e le giornate in libreria, quel placido vagare nel fancazzeggio ma anche, questa volta, un pizzico di dramma e di intensità che forse mancavano al primo libro. Rimane una cosetta semplice, ma scorre via bene ed esprime un sapore a cui sono affezionato.",,,1,1
,"From Vultures to Vampires, vol. 1 (1995–2004)",Trevor Dickinson,,David John Pleasance,1913491633,9781913491635,3.5,,Unicorn Publishing Group,Hardcover,368,2022/04/13,,,,read,,read,"From Vultures to Vampires racconta la storia del marchio Amiga negli anni successivi alla morte dell’azienda “originale” e tutte le innumerevoli vicissitudini legate ai tentativi di continuare a tenerlo in vita. Rispetto al precedente libro di Pleasance (Commodore - The Inside Story), costituisce una lettura meno appassionante, forse perché meno appassionante è la “storia” che viene raccontata e soprattutto perché per ampi tratti è tutto un elencare modelli, pezzi d’hardware, configurazioni e prodotti vari. Insomma, scorre via meno bene. Rimane comunque molto interessante, quantomeno per chi - come me - in quegli anni non ha minimamente seguito la scena. Se poi abbia molto da dire a chi invece era sul pezzo, francamente, non lo so. Ah, ho letto solo il primo volume, che va dal 1995 al 2004.",,,1,1
,The Patchwork Girl of Oz,L. Frank Baum,,,178226311X,9781782263111,4,,Sweet Cherry Publishing,Paperback,231,2016/12/01,,,,read,,read,"La ragazza di pezza di Oz è il settimo libro della serie ed esce tre anni dopo che il precedente aveva posto fine alle vicende di Dorothy e compagni. Solo che bisogna pagare le bollette e quindi eccoci qua. Il libro è del 1913, eppure la formula è già chiaramente quella del “requel” contemporaneo, con nuovi personaggi da seguire che raccontano una storia inedita in un contesto noto e buttan lì pretesti e spiegoni per reintrodurre le figure a cui siamo affezionati. E, oh, funziona, tra l’altro infilando tematiche sorprendentemente moderne - in particolare tutto un bel discorso neanche troppo allegorico sul ruolo delle carceri che dovrebbero essere correttive e non punitive - e divertendo un sacco me e mia figlia con il suo turbinio incessante giochi di parole davvero stupidini. Bello.",,,1,1
,The Summer That Melted Everything,Tiffany McDaniel,,,1911344366,9781911344360,4,,Scribe,Paperback,310,2017/01/01,,,,read,,read,"L'estate che sciolse ogni cosa m'è spuntato davanti un giorno qua mentre esploravamo la nuova libreria tutta piccina piccina coi proprietari simpatici e dai facciamo muovere l'economia e promuoviamo i negozi indipendenti comprando completamente a caso quindici libri da leggere durante le vacanze nonostante che ne siano già sedici in coda sullo scaffale e poi alla fine delle vacanze ne avremo letti quattro, dei quali uno era già iniziato, uno è un PDF da sette pagine e uno è il catalogo dell'Ikea. Sto romanzando, ma neanche troppo. Comunque, dicevo, m'è spuntato davanti nella sezione dei libri in lingua originale, aveva dei commenti prezzolati confortanti in copertina e m'è sembrato intrigante nelle premesse. Le premesse: un tizio di [cittadina della provincia statunitense negli anni Ottanta] mette un'inserzione sul quotidiano locale per chiedere al diavolo di andare a trovarlo e dopo qualche giorno arriva un ragazzino che sostiene di essere il diavolo.Ora, è una premessa che, oltre ad essere probabilmente un po' molestata da un sottoscritto che non aveva voglia di andare a verificare i dettagli perché il caldo lo sta sciogliendo tutto, c'ha un po' quell'aria da Stephen King. La provincia americana, le contraddizioni della società moderna, i tragici anni Ottanta reaganiani, i sensi di colpa che tracimano verso la disgrazia, un ragazzino al centro delle vicende racconta la storia tramite la sua voce narrante da adulto (alcolista e allo sfascio), un costante giocare sul dubbio fra ""c'è veramente un elemento fantastico/horror"" e ""ma che me stai a cojonà?"". A farmi pensare a King, poi, c'è anche il gran lavoro sulle caratterizzazioni, sui rapporti fra i personaggi, sul trascorrere due terzi di libro ad accumulare materiale che poi verrà fatto esplodere nel finale. Di contro, a staccarsi da King e trovare una sua identità, nel bene e nel male, c'è forse lo stile di scrittura un po' barocco e pretenzioso, che sulle prime mi ha abbastanza respinto, ma non a sufficienza da farmi mollare, perché poi il racconto rimane intrigante e il mistero viene maneggiato bene: diventa chiaro piuttosto in fretta che la natura della faccenda non è sovrannaturale, ma il senso di dubbio rimane comunque lì appeso fino in fondo e tiene alta l'attenzione. In più, la parte finale è un tripudio tragico di emozioni fortissime, super telefonata in quel che racconta e nonostante questo avvincente e straziante. C'ha un paio di momenti che mi han lasciato senza fiato, con gli occhi gonfi, e non mi vengono in mente molti esempi di libri che m'abbiano fatto questo effetto dirompente. Poi non so cosa questo dica dei libri che leggo di solito, del libro in questione e/o della mia crisi di mezz'età, ma insomma.Ah, a margine, il parallelo con King è tanto ovvio e banale quanto secondo me inevitabile, però - lo dico per chi magari è incuriosito ma non ama cagarsi sotto leggendo romanzi - in realtà i toni non sono mai da horror e tutto sommato neanche da thriller. Ci sono orrori, ma sono più tematici che altro, al di là di una parte finale che certamente del disagio addosso te lo lascia.",,,1,1
,Tutto nella norma,Gaia Spizzichino,,,8811008042,9788811008040,,,Garzanti,Paperback,288,2023/03/14,,,,to-read,,to-read,,,,0,0
,Fa bene o fa male? Manuale di autodifesa alimentare,Dario Bressanini,,,8804764872,9788804764878,,,Mondadori,Hardcover,328,2023/05/02,,,,to-read,,to-read,,,,0,0
,Calibano e la strega,Silvia Federici,,,8857566420,9788857566429,,,Mimesis,Paperback,343,2020/07/09,,,,to-read,,to-read,,,,0,0
,The Emerald City of Oz,L. Frank Baum,,,1782263101,9781782263104,4,,Sweet Cherry Publishing,Paperback,228,2016/12/01,,,,read,,read,"L. Frank Baum ha scritto La città di smeraldo di Oz, sesto libro della serie, pensandolo come il libro che avrebbe dovuto chiudere la faccenda. E in effetti si respira un po' quell’aria da Avengers: Infinity War/Endgame, con l’esercito delle peggio creature di Oz e dintorni che sta scavando un tunnel per raggiungere la città e piantare un casino che metà basta. Il Thanos della situazione è quell’infame del re Niomo, già visto e umiliato qualche libro prima, che cerca di mettere assieme i Sinistri Sei e si prepara all’assalto. La situazione è drammatica e ne viene fuori un bel senso di tensione crescente, seppur sempre smorzato dall’umorismo della serie e anche un po' dal fatto che mezzo libro è un continuo ritornare di personaggi accompagnati da spiegone per aiutare chi magari non ha letto tutti i precedenti. Ma insomma, ci si diverte, specie poi con un finale in cui Ozma la butta in quel posto a Niomo e compagni in stile Doctor Strange. E finisce tutto qui. #credici",,,1,1
,Paddington Marches on,Michael Bond,,,0006753620,9780006753629,,,HarperCollins Publishers,Paperback,144,1998/04/06,,,,to-read,,to-read,,,,0,0
,"Girl, Woman, Other",Bernardine Evaristo,,,0241984998,9780241984994,,,Penguin Books,Paperback,464,2020/03/01,,,,to-read,,to-read,,,,0,0
,Réinventer l'amour,Mona Chollet,,,235522174X,9782355221743,,,Zones,Paperback,255,2021/01/01,,,,to-read,,to-read,,,,0,0
,Milkman,Anna Burns,,,0571338755,9780571338757,,,Faber & Faber,Paperback,348,2018/01/01,,,,to-read,,to-read,,,,0,0
